"","city","dependent","industry","employer_name","median_wage","lat","lon"
"1","Albuquerque","N","index22","PUBLIC SERVICE COMPANY OF NEW MEXICO",93471.5,35.08418,-106.648639
"2","Albuquerque","N","index22","TRANSMISSION&DISTRIBUTION SERVICES LLC",64000,35.08418,-106.648639
"3","Albuquerque","N","index31","RIO GR&E",115000,35.08418,-106.648639
"4","Albuquerque","N","index31","ECLIPSE AEROSPACE",105000,35.08418,-106.648639
"5","Albuquerque","N","index31","SKORPIOS TECHNOLOGIES INC",102000,35.08418,-106.648639
"6","Albuquerque","N","index31","ECLIPSE AEROSPACE INC",94000,35.08418,-106.648639
"7","Albuquerque","N","index31","GENERAL MILLS INC",78354,35.08418,-106.648639
"8","Albuquerque","N","index42","ROYAL  PACIFIC LTD.",52000,35.08418,-106.648639
"9","Albuquerque","N","index44","PEARL BANYAN CAPITAL LLC.",80000,35.08418,-106.648639
"10","Albuquerque","N","index51","ATLANTIC TELE-NETWORK INC",91771,35.08418,-106.648639
"11","Albuquerque","N","index51","T-MOBILE USA INC",91000,35.08418,-106.648639
"12","Albuquerque","N","index51","MROWL.COM INC",80000,35.08418,-106.648639
"13","Albuquerque","N","index54","SOUTHERN MEDICAL PARTNERS L.L.C.",109366,35.08418,-106.648639
"14","Albuquerque","N","index54","COMET SOLUTIONS INC",90000,35.08418,-106.648639
"15","Albuquerque","N","index54","S&IA CORPORATION",85700,35.08418,-106.648639
"16","Albuquerque","N","index54","PIERAN LLC",85695.94,35.08418,-106.648639
"17","Albuquerque","N","index54","DELOITTE CONSULTING LLP",80000,35.08418,-106.648639
"18","Albuquerque","N","index54","HID GLOBAL CORPORATION",80000,35.08418,-106.648639
"19","Albuquerque","N","index56","ACRO SERVICE CORP",131040,35.08418,-106.648639
"20","Albuquerque","N","index56","GUARDIAN HEALTHCARE PROVIDERS INC",63502,35.08418,-106.648639
"21","Albuquerque","N","index56","SEQUOIA L&SCAPING INC",47986,35.08418,-106.648639
"22","Albuquerque","N","index61","UNIVERSITY OF NEW MEXICO HEALTH SCIENCES CENTER",72000,35.08418,-106.648639
"23","Albuquerque","N","index61","UNIVERSITY OF NEW MEXICO",61357,35.08418,-106.648639
"24","Albuquerque","N","index61","INTERNATIONAL COUNCIL OF E-COMMERCE CONSULTANTS",60000,35.08418,-106.648639
"25","Albuquerque","N","index61","CENTRAL NEW MEXICO COMMUNITY COLLEGE",52241,35.08418,-106.648639
"26","Albuquerque","N","index61","LA PROMESA EARLY LEARNING CENTER",45000,35.08418,-106.648639
"27","Albuquerque","N","index62","HIGH COUNTRY MACULA RETINA,&VITREOUS, PC",285000,35.08418,-106.648639
"28","Albuquerque","N","index62","PRESBYTERIAN HEALTHCARE SERVICES",215000,35.08418,-106.648639
"29","Albuquerque","N","index62","PATHOLOGY ASSOCIATES OF ALBUQUERQUE PA",160000,35.08418,-106.648639
"30","Albuquerque","N","index62","PEPPERMINT DENTAL RIO BRAVO PLLC",125000,35.08418,-106.648639
"31","Albuquerque","N","index62","SOUTHERN MEDICAL PARTNERS L.L.C.",109366,35.08418,-106.648639
"32","Albuquerque","N","index72","L&RY'S RESTAURANTS INC",69175,35.08418,-106.648639
"33","Albuquerque","N","index72","THREE ALBUQUERQUE HOTELS LIMITED",52000,35.08418,-106.648639
"34","Albuquerque","N","index72","MIDTOWN HOSPITALITY LLC",42432,35.08418,-106.648639
"35","Albuquerque","N","index92","ALBUQUERQUE PUBLIC SCHOOL DISTRICT",53353.08,35.08418,-106.648639
"36","Arlington","N","index11","S&W SEED COMPANY",111636,38.89051,-77.086294
"37","Arlington","N","index22","THE AES CORPORATION",109470,38.89051,-77.086294
"38","Arlington","N","index22","AES SERVICES INC",103960,38.89051,-77.086294
"39","Arlington","N","index22","PEPCO ENERGY SERVICES INC",79080,38.89051,-77.086294
"40","Arlington","N","index22","TENASKA INC",69410,38.89051,-77.086294
"41","Arlington","N","index23","RAGLE INC",89960,38.89051,-77.086294
"42","Arlington","N","index23","JACOBS ENGINEERING GROUP INC",77593.5,38.89051,-77.086294
"43","Arlington","N","index23","DFS CONSTRUCTION CORPORATION",67500,38.89051,-77.086294
"44","Arlington","N","index23","JACOBS PROJECT MANAGEMENT COMPANY",60000,38.89051,-77.086294
"45","Arlington","N","index31","DELL MARKETING L.P.",94395,38.89051,-77.086294
"46","Arlington","N","index31","GENERAL ELECTRODYNAMICS CORPORATION",76167,38.89051,-77.086294
"47","Arlington","N","index31","DEMILEC (USA) INC",75000,38.89051,-77.086294
"48","Arlington","N","index31","THE ALUMINUM ASSOCIATION INC",73650,38.89051,-77.086294
"49","Arlington","N","index31","TEARSCIENCE INC",71989,38.89051,-77.086294
"50","Arlington","N","index42","DELL MARKETING L.P.",74897,38.89051,-77.086294
"51","Arlington","N","index42","TECAN US INC",68000,38.89051,-77.086294
"52","Arlington","N","index42","DOMINION ELECTRIC SUPPLY COMPANY INC",58000,38.89051,-77.086294
"53","Arlington","N","index42","MARTIN SPROCKET&GEAR INC",55411,38.89051,-77.086294
"54","Arlington","N","index42","AUTOMOTIVE PARTS DISTRIBUTION INTERNATIONAL LLC",55000,38.89051,-77.086294
"55","Arlington","N","index44","GREEN OAKS PHARMA INC",97302.5,38.89051,-77.086294
"56","Arlington","N","index44","LIDL US LLC (F.K.A. MGP RETAIL CONSULTING, LLC)",80000,38.89051,-77.086294
"57","Arlington","N","index44","WEBY CORP",65000,38.89051,-77.086294
"58","Arlington","N","index44","JAPAN AUTO SERVICES INC",56274.5,38.89051,-77.086294
"59","Arlington","N","index48","METROPOLITAN WASHINGTON AIRPORTS AUTHORITY",135018.5,38.89051,-77.086294
"60","Arlington","N","index51","AT&T CORP.",144234,38.89051,-77.086294
"61","Arlington","N","index51","MOST INVESTMENTS LLC",115000,38.89051,-77.086294
"62","Arlington","N","index51","AILERON CONSULTING LLC",105000,38.89051,-77.086294
