"","city","dependent","industry","employer_name","median_wage","lat","lon"
"1","Albuquerque","Y","index54","SAGITEC SOLUTIONS LLC",125000,35.08418,-106.648639
"2","Albuquerque","Y","index54","PERFICIENT INC",105888,35.08418,-106.648639
"3","Albuquerque","Y","index54","ADAEQUARE INC",90000,35.08418,-106.648639
"4","Albuquerque","Y","index54","CORPORATE COMPUTER SOLUTIONS LLC",85000,35.08418,-106.648639
"5","Albuquerque","Y","index54","V-SOFT CONSULTING GROUP INC",85000,35.08418,-106.648639
"6","Albuquerque","Y","index56","INFOSOFT INC",60000,35.08418,-106.648639
"7","Arlington","Y","index51","GEOVED LLC",129000,38.89051,-77.086294
"8","Arlington","Y","index51","ARCHENTS INC",95000,38.89051,-77.086294
"9","Arlington","Y","index54","CAPRICORN SYSTEMS INC",125000,38.89051,-77.086294
"10","Arlington","Y","index54","WORLD CLASS WORKFORCE LLC",116480,38.89051,-77.086294
"11","Arlington","Y","index54","PRINCTON BLUE INC.",114300,38.89051,-77.086294
"12","Arlington","Y","index54","EAGLE TECHNOLOGIES INC",112000,38.89051,-77.086294
"13","Arlington","Y","index54","MASTECH INC, A MASTECH HOLDINGS, INC. COMPANY",110490,38.89051,-77.086294
"14","Atlanta","Y","index23","MIDSOUTH STEEL INC",76000,33.748315,-84.391109
"15","Atlanta","Y","index31","HUGHES SYSTIQUE PRIVATE LIMITED",91992,33.748315,-84.391109
"16","Atlanta","Y","index44","LIYA INC",8,33.748315,-84.391109
"17","Atlanta","Y","index51","EXUSIA INC",125000,33.748315,-84.391109
"18","Atlanta","Y","index51","ARCHENTS INC",95000,33.748315,-84.391109
"19","Atlanta","Y","index51","VALUELABS INC",91000,33.748315,-84.391109
"20","Atlanta","Y","index51","IDEA TECH SOLUTIONS INC",67521.5,33.748315,-84.391109
"21","Atlanta","Y","index54","WENOVA INC",140000,33.748315,-84.391109
"22","Atlanta","Y","index54","ARTYLLECT INC",135000,33.748315,-84.391109
"23","Atlanta","Y","index54","SANVY SYSTEMS INC",130000,33.748315,-84.391109
"24","Atlanta","Y","index54","UST GLOBAL INC",127700,33.748315,-84.391109
"25","Atlanta","Y","index54","SIVEES INC",115000,33.748315,-84.391109
"26","Atlanta","Y","index56","SUPRASOFT INC",69056,33.748315,-84.391109
"27","Atlanta","Y","index56","JNIT TECHNOLOGIES",68000,33.748315,-84.391109
"28","Atlanta","Y","index56","WORLD JOINT CORPORATION",38459,33.748315,-84.391109
"29","Atlanta","Y","index56","PASONA N A INC",35880,33.748315,-84.391109
"30","Atlanta","Y","index61","GLOBAL TEACHERS RESEARCH&RESOURCES INC",41110,33.748315,-84.391109
"31","Austin","Y","index31","QUALCOMM TECHNOLOGIES INC",110822,30.267605,-97.742984
"32","Austin","Y","index31","QUALCOMM INNOVATION CENTER INC",98862,30.267605,-97.742984
"33","Austin","Y","index31","QUALCOMM INCRPORATED",95700,30.267605,-97.742984
"34","Austin","Y","index31","QUALCOMM ATHEROS INC",89003.2,30.267605,-97.742984
"35","Austin","Y","index31","ALTERA CORPORATION",57512,30.267605,-97.742984
"36","Austin","Y","index51","ANALYSIS&DESIGN APPLICATION CO. LTD",107000,30.267605,-97.742984
"37","Austin","Y","index51","FACEBOOK INC",99250,30.267605,-97.742984
"38","Austin","Y","index51","AURIONPRO SOLUTIONS INC",80000,30.267605,-97.742984
"39","Austin","Y","index51","VALUE SOFTWARE PRODUCTS INC",71000,30.267605,-97.742984
"40","Austin","Y","index51","MOBILECOMM PROFESSIONALS INC",65568,30.267605,-97.742984
"41","Austin","Y","index52","WORLDQUANT LLC",130000,30.267605,-97.742984
"42","Austin","Y","index54","VUEGEN TECHNOLOGIES INC",144000,30.267605,-97.742984
"43","Austin","Y","index54","DAZ SYSTEMS INC",130000.08,30.267605,-97.742984
"44","Austin","Y","index54","INNOMINDS SOFTWARE INC",130000,30.267605,-97.742984
"45","Austin","Y","index54","OSI CONSULTING INC",129000,30.267605,-97.742984
"46","Austin","Y","index54","C&T INFORMATION TECHNOLOGY CONSULTING INC",126800,30.267605,-97.742984
"47","Austin","Y","index56","JNIT TECHNOLOGIES",1e+05,30.267605,-97.742984
"48","Austin","Y","index56","SUPRASOFT INC",76294,30.267605,-97.742984
"49","Austin","Y","index56","USM BUSINESS SYSTEMS INC",65000,30.267605,-97.742984
"50","Austin","Y","index56","INFOSOFT INC",60000,30.267605,-97.742984
"51","Austin","Y","index61","AUSTIN INDEPENDENT SCHOOL DISTRICT",71552,30.267605,-97.742984
"52","Austin","Y","index62","RITESTEP REHAB SOLUTIONSLLC",60000,30.267605,-97.742984
"53","Baltimore","Y","index54","CYBERBRIDGE INTERNATIONAL INC",120000,39.290585,-76.609264
"54","Baltimore","Y","index54","KMM TECHNOLOGIES INC",120000,39.290585,-76.609264
